type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	7.002	0.120	-0.570	12.621	-0.093	3.155	-1.593	12.929	0.760	15.539	-0.146	-0.291	0.093	2.131	1.209	1.689	1.034	0.658	-0.217	3.000	0.032	1.002	-0.617	5.980	2.112	2.394	0.110	0.995	-0.089	0.312	-0.670	1.964	1.932	0.894	0.317	1.229
fp	7.202	0.136	-0.423	10.511	-0.949	6.666	0.839	12.734	0.582	16.016	0.396	1.819	0.949	1.327	-0.055	0.768	-0.535	0.243	-0.899	2.246	-0.156	3.420	0.692	0.810	-0.808	0.923	-0.844	1.540	0.244	1.407	1.201	0.255	-0.820	0.311	-0.816	3.878
?	8.090	0.064	-1.085	13.255	0.165	3.719	-1.203	13.625	1.396	14.791	-0.996	-0.925	-0.165	1.811	0.706	1.617	0.911	1.075	0.469	0.646	-0.556	1.012	-0.612	1.854	-0.218	2.218	-0.005	0.238	-0.551	0.320	-0.658	0.650	-0.184	0.767	0.070	1.307
fp	8.322	0.296	1.047	14.545	0.688	6.113	0.456	12.121	0.022	15.681	0.016	-2.214	-0.688	0.763	-0.943	0.234	-1.443	0.404	-0.635	2.265	-0.152	2.180	0.020	0.918	-0.747	1.945	-0.182	0.755	-0.236	0.746	0.071	0.239	-0.847	0.568	-0.317	4.608
fp	8.946	0.071	-1.017	12.161	-0.279	7.524	1.434	11.458	-0.583	16.120	0.514	0.169	0.279	2.030	1.051	0.499	-0.992	0.576	-0.351	15.587	3.172	0.916	-0.664	0.147	-1.182	1.992	-0.151	5.597	2.720	0.266	-0.749	0.050	-1.151	0.701	-0.057	4.374
fp	9.018	0.401	2.008	11.453	-0.567	7.366	1.324	11.165	-0.852	16.025	0.407	0.877	0.567	2.141	1.226	0.802	-0.476	1.342	0.909	1.022	-0.462	1.124	-0.551	0.667	-0.889	4.204	1.283	0.343	-0.487	0.354	-0.599	0.177	-0.946	1.557	1.609	5.732
?	9.738	0.080	-0.938	17.290	1.802	3.306	-1.489	12.991	0.817	16.168	0.569	-4.960	-1.802	1.714	0.553	1.020	-0.105	0.401	-0.639	1.571	-0.325	1.792	-0.189	0.497	-0.984	0.990	-0.801	0.721	-0.256	0.721	0.028	0.147	-0.995	0.382	-0.679	2.151
fp	9.946	0.296	1.047	14.643	0.728	6.061	0.420	11.614	-0.442	17.068	1.591	-2.313	-0.728	1.593	0.364	0.805	-0.471	1.098	0.508	1.874	-0.249	8.291	3.329	2.550	0.175	1.281	-0.612	0.608	-0.325	2.127	2.431	1.221	0.735	0.342	-0.755	3.707
?	10.322	0.104	-0.717	13.305	0.185	6.211	0.524	11.872	-0.205	14.166	-1.706	-0.974	-0.185	0.952	-0.645	0.702	-0.646	2.108	2.168	0.508	-0.590	2.620	0.259	4.723	1.402	5.943	2.411	0.188	-0.582	0.866	0.275	1.340	0.927	2.042	2.553	2.068
?	10.642	0.168	-0.129	14.082	0.500	4.745	-0.491	12.984	0.810	14.541	-1.280	-1.752	-0.500	0.578	-1.234	1.075	-0.012	1.507	1.179	0.931	-0.485	0.976	-0.631	1.563	-0.382	3.430	0.781	0.319	-0.501	0.346	-0.612	0.543	-0.356	0.864	0.260	2.543
